ts_utc,date_utc,time_utc,volume,range_pips
2020-06-04 14:30:00+0000,2020-06-04,14:30,3723.60999999998,28.9
2020-06-05 12:30:00+0000,2020-06-05,12:30,6593.959999999899,51.0
2020-06-05 12:35:00+0000,2020-06-05,12:35,4132.019999999981,25.0
2020-06-05 12:40:00+0000,2020-06-05,12:40,4141.839999999989,27.8
2020-06-10 18:00:00+0000,2020-06-10,18:00,4695.709999999949,67.9
2020-06-10 18:40:00+0000,2020-06-10,18:40,3752.9399999999914,28.2
2020-06-10 18:50:00+0000,2020-06-10,18:50,3387.669999999998,25.2
2020-06-10 19:00:00+0000,2020-06-10,19:00,3193.029999999989,31.2
2020-06-19 12:30:00+0000,2020-06-19,12:30,3035.1599999999994,26.3
2020-06-19 15:00:00+0000,2020-06-19,15:00,3675.669999999983,33.7
2020-07-29 18:55:00+0000,2020-07-29,18:55,3301.369999999998,32.2
2020-07-30 12:55:00+0000,2020-07-30,12:55,2311.549999999987,25.4
2020-07-30 23:15:00+0000,2020-07-30,23:15,2291.9299999999917,28.5
2020-08-06 06:05:00+0000,2020-08-06,06:05,9529.63000000005,27.2
2020-08-06 14:05:00+0000,2020-08-06,14:05,9308.740000000003,26.7
2020-08-07 12:30:00+0000,2020-08-07,12:30,3594.3799999999783,27.5
2020-08-07 12:40:00+0000,2020-08-07,12:40,3595.579999999969,25.9
2020-08-07 13:15:00+0000,2020-08-07,13:15,3472.239999999985,25.9
2020-08-18 13:25:00+0000,2020-08-18,13:25,2193.5899999999924,25.1
2020-08-19 18:05:00+0000,2020-08-19,18:05,6359.899999999999,43.5
2020-08-27 12:45:00+0000,2020-08-27,12:45,2500.5199999999863,26.9
2020-08-27 13:05:00+0000,2020-08-27,13:05,5276.429999999956,48.8
2020-08-27 13:10:00+0000,2020-08-27,13:10,8825.680000000042,30.0
2020-08-27 13:30:00+0000,2020-08-27,13:30,5918.839999999924,39.1
2020-08-27 13:35:00+0000,2020-08-27,13:35,8431.13999999995,39.0
2020-08-27 13:45:00+0000,2020-08-27,13:45,4777.689999999958,29.3
2020-09-01 13:20:00+0000,2020-09-01,13:20,3143.299999999987,26.3
2020-09-01 14:00:00+0000,2020-09-01,14:00,4131.199999999954,35.3
2020-09-04 12:30:00+0000,2020-09-04,12:30,12176.060000000103,28.6
2020-09-04 12:35:00+0000,2020-09-04,12:35,9496.919999999984,28.3
2020-09-09 12:45:00+0000,2020-09-09,12:45,6166.17999999993,30.8
2020-09-10 12:30:00+0000,2020-09-10,12:30,7970.819999999897,48.4
2020-09-10 12:35:00+0000,2020-09-10,12:35,11846.520000000295,28.7
2020-09-16 18:00:00+0000,2020-09-16,18:00,5372.9099999999635,36.0
2020-09-16 18:05:00+0000,2020-09-16,18:05,7683.059999999906,27.4
2020-09-16 18:10:00+0000,2020-09-16,18:10,9086.149999999989,25.4
2020-09-16 18:40:00+0000,2020-09-16,18:40,7787.339999999903,28.0
2020-09-17 03:15:00+0000,2020-09-17,03:15,6660.489999999993,25.6
2020-10-06 18:50:00+0000,2020-10-06,18:50,9302.61000000002,31.2
