ts,open,high,low,close,volume
2020-09-02 19:00:00+00:00,1.18245,1.18266,1.18238,1.18262,4535.380000000003
2020-09-02 19:15:00+00:00,1.18261,1.18399,1.1826,1.18388,10496.76000000008
2020-09-02 19:30:00+00:00,1.18388,1.18424,1.18344,1.18423,11686.810000000107
2020-09-02 19:45:00+00:00,1.18425,1.1847,1.18401,1.18465,7200.010000000044
2020-09-02 20:00:00+00:00,1.18462,1.18504,1.1843,1.18503,3118.860000000012
2020-09-02 20:15:00+00:00,1.18504,1.18555,1.18496,1.18553,3167.7899999999727
2020-09-02 20:30:00+00:00,1.18554,1.18576,1.1853,1.18531,2833.7399999999984
2020-09-02 20:45:00+00:00,1.1853,1.1857,1.18512,1.18547,2569.5100000000016
2020-09-02 21:00:00+00:00,1.18506,1.18553,1.18506,1.18545,299.58000000000015
2020-09-02 21:15:00+00:00,1.18545,1.18545,1.18519,1.18539,1548.5700000000002
2020-09-02 21:30:00+00:00,1.18539,1.18544,1.18533,1.18539,170.02
2020-09-02 21:45:00+00:00,1.1854,1.1855,1.18537,1.18548,38.53999999999999
2020-09-02 22:00:00+00:00,1.18548,1.18549,1.18513,1.18521,965.9576999999998
2020-09-02 22:15:00+00:00,1.18521,1.18528,1.18507,1.18523,910.8800000000009
2020-09-02 22:30:00+00:00,1.18526,1.18527,1.18506,1.18514,749.0200000000001
2020-09-02 22:45:00+00:00,1.18513,1.18546,1.18512,1.18535,723.8
2020-09-02 23:00:00+00:00,1.18536,1.18546,1.18505,1.18523,1935.6200000000024
2020-09-02 23:15:00+00:00,1.18523,1.18545,1.18512,1.18526,3541.5200000000004
2020-09-02 23:30:00+00:00,1.18527,1.18535,1.18507,1.18529,1737.0199999999932
2020-09-02 23:45:00+00:00,1.18528,1.18529,1.18455,1.18457,5801.169999999984
2020-09-03 00:00:00+00:00,1.18458,1.18467,1.18384,1.18413,8539.699999999995
2020-09-03 00:15:00+00:00,1.18412,1.18439,1.18397,1.18421,4303.179999999993
2020-09-03 00:30:00+00:00,1.18423,1.18443,1.18356,1.18367,5475.979999999949
2020-09-03 00:45:00+00:00,1.18366,1.18372,1.18298,1.18311,6769.389999999928
2020-09-03 01:00:00+00:00,1.18311,1.18363,1.18311,1.18315,9114.660000000054
2020-09-03 01:15:00+00:00,1.18314,1.18351,1.1828,1.18308,7233.17999999997
2020-09-03 01:30:00+00:00,1.18307,1.1832,1.18243,1.18268,7473.609999999975
2020-09-03 01:45:00+00:00,1.18268,1.18313,1.18263,1.18306,5206.779999999992
2020-09-03 02:00:00+00:00,1.18309,1.18358,1.18271,1.18353,4823.519999999991
2020-09-03 02:15:00+00:00,1.18351,1.18356,1.18326,1.18342,3783.6399999999812
2020-09-03 02:30:00+00:00,1.18343,1.18344,1.18275,1.18285,14729.350000000288
